applicant,type
ABB DAIMLER-BENZ TRANSPORTATION (TECHNOLOGY) GMBH,Industry/Other
ATOTECH DEUTSCHLAND GMBH,Industry/Other
BASF SE,Industry/Other
BERLINER ELEKTRONENSPEICHER,Industry/Other
BERLINER ELEKTRONENSPEICHERRING-GESELLSCHAFT FUERSYNCHROTRONSTRAHLUNG MBH,Industry/Other
BIOMET MERCK GMBH,Industry/Other
CIBA SPECIALTY CHEMICALS HOLDING INC,Industry/Other
DRESDEN 3D GMBH,University
DYCONEX PATENTE AG,Industry/Other
EIBES KERB KONUS GMBH,Industry/Other
FORSTLICHE VERSUCHS- UND FORSCHUNGSANSTALT BADEN-WUERTTEMBERG,Industry/Other
FRAUNHOFER GES FORSCHUNG,Industry/Other
FRAUNHOFER-GESELLSCHAFT ZUR FOERDERUNG DER,Industry/Other
FRAUNHOFER-GESELLSCHAFT ZUR FOERDERUNG DER ANGEWANDTEN FORSCHUNG E.V,Industry/Other
GEESTHACHT GKSS FORSCHUNG,Industry/Other
GKSS-FORSCHUNGSZENTRUM GEESTHACHT GMBH,Industry/Other
HEINZ KURZ GMBH MEDIZINTECHNIK,Industry/Other
HEINZE DYCONEX PATENTE,Industry/Other
HELIATEK GMBH,Industry/Other
HOMAG HOLZBEARBEITUNGSSYSTEME AG,Industry/Other
JADO TECHNOLOGIES GMBH,Industry/Other
JADOLABS GMBH,Industry/Other
KERB-KONUS-VERTRIEBS-GMBH,Industry/Other
KNUERR-MECHANIK FUER DIE ELEKTRONIK AG,Industry/Other
MANAGEMENT ASSOCIATES GBR,Industry/Other
MAX-PLANCK-GESELLSCHAFT ZUR FOERDERUNG DER WISSENSCHAFTEN E.V,Industry/Other
"NICOLAUS, DIRK, DIPL.-ING",Industry/Other
NOVALED AG,Industry/Other
NOVIHUM GMBH,Industry/Other
RIBOXX GMBH,Industry/Other
SAECHSISCHES INST FUER ANGEWAN,Industry/Other
SAECHSISCHES INSTITUT FUER ANGEWANDTE BIOTECHNOLOGIE E.V. (SIAB),Industry/Other
SENTEX CHEMNITZ GMBH,Industry/Other
TALBOT GMBH & CO. KG,Industry/Other
TU DRESDEN,University
UMEX DRESDEN GMBH,University
UNIV DRESDEN TECH,University
UROTEC GMBH,Industry/Other
UROTISS GMBH,Industry/Other
VANTICO AG,Industry/Other
WAGGONFABRIK TALBOT GMBH & CO.KG,Industry/Other
"WEIDHASE, FRIEDER, DR.RER.NAT",Industry/Other
